name,address,city,country,province,latitude,longitude,categories,price_range_min,price_range_max
Allstar Pizza,2345 Street Rd,Bensalem,US,Pennsylvania,40.105094,-74.94951,Restaurant and Pizza Place,0,25
Pepicellis,208 S Washington Hwy,Ashland,US,Virginia,37.755605,-77.471636,Traditional Pizza Place,0,25
Thr3e Wise Men Brewing Co,1021 Broad Ripple Ave,Indianapolis,US,Indiana,39.869579,-86.140708,Others,25,40
Vesuvius Pizza,1800 Kings Hwy,Brooklyn,US,New York,40.60992,-73.955536,Restaurant and Pizza Place,0,25
Papa Johns Pizza,219 N Main St Ste B,Crown Point,US,Indiana,41.421409,-87.365079,Restaurant and Pizza Place,0,25
Papa Johns Pizza,113 Seminole Plz,Madison Heights,US,Virginia,37.442732,-79.118629,Restaurant and Pizza Place,0,25
Lost Pizza Co Memphis TN,2855 Poplar Ave,Memphis,US,Tennessee,35.133587,-89.966259,Traditional Pizza Place,25,40
Ninos Pasta Pizza,2800 Forestwood Dr,Arlington,US,Texas,32.785203,-97.065359,Others,0,25
Juniors Pizza More 2,13212 East Colonia Dr.,Orlando,US,Florida,28.563889,-81.183198,Others,0,25
Rosaria Pizza,4719 Point Loma Ave,San Diego,US,California,32.735444,-117.253446,Traditional Pizza Place,0,25
Pizza Da Solo,550 Madison Ave,New York,US,New York,40.761467,-73.973505,Restaurant and Pizza Place,25,40
La Montanara Restaurant,18851 NE 29th Ave Ste 102,Miami,US,Florida,25.950503,-80.141549,Italian Restaurant,40,55
The Rock Wood Fired Pizza,1918 201st Pl SE,Bothell,US,Washington,47.814792,-122.207248,Others,25,40
Drexel Pizza,107 N 33rd St,Philadelphia,US,Pennsylvania,39.958008,-75.189106,Others,0,25
Rays New York Pizza,26 5th St NW,Atlanta,US,Georgia,33.776749,-84.388042,Restaurant and Pizza Place,1,25
Amicas Wood Fired Pizza Microbrews,127 F St,Salida,US,Colorado,38.535107,-105.991793,Others,0,25
Grand Avenue Pizza,3424 30th Ave,Astoria,US,New York,40.765323,-73.918233,Restaurant and Pizza Place,0,25
Drexel Hill Pizza,4603 State Rd,Drexel Hill,US,Pennsylvania,39.950501,-75.311856,Restaurant and Pizza Place,25,40
Gruppo,98 Avenue B,New York,US,New York,40.724745,-73.981486,Restaurant and Pizza Place,25,40
Scuottos Pizza Pasta,3455 N Hiatus Rd,Fort Lauderdale,US,Florida,26.170221,-80.297026,Italian Restaurant,25,40
Fortunato Brothers,6374 York Rd,Baltimore,US,Maryland,39.373004,-76.610682,Traditional Pizza Place,0,25
Infernos Brick Oven Pizza,8825 Tallon Ln NE Ste I,Olympia,US,Washington,47.059424,-122.752768,Traditional Pizza Place,25,40
Phillies Pizza,74-02 Eliot Ave,Middle Village,US,New York,40.721953,-73.885429,Traditional Pizza Place,25,40
Marleys Chicago Style Pizzeria,6104 E 71st St,Tulsa,US,Oklahoma,36.06036,-95.907617,Traditional Pizza Place,25,40
Sicilianos,974 E Main St,Ravenna,US,Ohio,41.157029,-81.227105,Restaurant and Pizza Place,0,25
Pavones Pizza,5781 Bridge St,East Syracuse,US,New York,43.051332,-76.070799,Restaurant and Pizza Place,0,25
